Community Name,PROPERTY,QUALITY OF LIFE,VIOLENT
Albany Park,0.48206436977172834,0.12760527435133986,0.31192400396994185
Archer Heights,0.21976463916064087,0.04962427335885439,0.0708918190840777
Armour Square,0.12760527435133986,0.03544590954203885,0.1701403658017865
Ashburn,0.5033319154969517,0.20558627534382531,0.36154827732879624
Auburn Gresham,0.6876506451155536,0.5742237345810294,1.1271799234368354
Austin,1.5454416560328939,1.3753012902311073,2.03459520771303
Avalon Park,0.14887282007656316,0.04253509145044662,0.20558627534382531
Avondale,0.4537076421380973,0.10633772862611654,0.19849709343541755
Belmont Cragin,0.6167588260314759,0.26229973061108747,0.6167588260314759
Beverly,0.1701403658017865,0.08507018290089324,0.04962427335885439
Bridgeport,0.2339430029774564,0.09215936480930101,0.14887282007656316
Brighton Park,0.25521054870267973,0.19849709343541755,0.340280731603573
Burnside,0.04962427335885439,0.04962427335885439,0.03544590954203885
Calumet Heights,0.12760527435133986,0.03544590954203885,0.1701403658017865
Chatham,0.7727208280164469,0.3048348220615341,0.7230965546575925
Chicago Lawn,0.5954912803062526,0.3331915496951652,0.680561463207146
Clearing,0.09924854671770877,0.04962427335885439,0.04962427335885439
Douglas,0.4182617325960584,0.10633772862611654,0.3048348220615341
Dunning,0.26938891251949526,0.0708918190840777,0.21267545725223308
East Garfield Park,0.31901318587834965,0.43952927832128175,0.6238480079398837
East Side,0.11342691053452432,0.12051609244293209,0.19140791152700978
Edgewater,0.2835672763363108,0.04962427335885439,0.276478094427903
Edison Park,0.07798100099248546,0.01417836381681554,0.04253509145044662
Englewood,0.38990500496242736,0.2835672763363108,0.893236920459379
Forest Glen,0.12760527435133986,0.02835672763363108,0.04253509145044662
Fuller Park,0.1417836381681554,0.02835672763363108,0.09924854671770877
Gage Park,0.26938891251949526,0.10633772862611654,0.36863745923720403
Garfield Ridge,0.2977456401531263,0.12051609244293209,0.18431872961860202
Grand Boulevard,0.48915355168013613,0.19140791152700978,0.48206436977172834
Greater Grand Crossing,0.6025804622146604,0.5104210974053595,0.9924854671770877
Hegewisch,0.0708918190840777,0.01417836381681554,0.04253509145044662
Hermosa,0.19140791152700978,0.05671345526726216,0.15596200198497093
Humboldt Park,0.8365234651921168,0.5600453707642138,1.0279313767191267
Hyde Park,0.4466184602296895,0.07798100099248546,0.1417836381681554
Irving Park,0.5104210974053595,0.18431872961860202,0.21976463916064087
Jefferson Park,0.13469445625974763,0.09215936480930101,0.07798100099248546
Kenwood,0.1701403658017865,0.05671345526726216,0.22685382106904864
Lake View,0.9074152842761946,0.1701403658017865,0.36863745923720403
Lincoln Park,1.1130015596200198,0.19849709343541755,0.18431872961860202
Lincoln Square,0.340280731603573,0.09215936480930101,0.12760527435133986
Logan Square,1.0917340138947966,0.2835672763363108,0.43244009641287395
Loop,2.0062384800793986,0.15596200198497093,0.49624273358854387
Lower West Side,0.3473699135119807,0.17722954771019425,0.24103218488586417
McKinley Park,0.08507018290089324,0.08507018290089324,0.11342691053452432
Montclare,0.12760527435133986,0.04253509145044662,0.04962427335885439
Morgan Park,0.36154827732879624,0.26229973061108747,0.21267545725223308
Mount Greenwood,0.1417836381681554,0.04962427335885439,0.03544590954203885
Near North Side,2.0700411172550686,0.31901318587834965,0.7727208280164469
Near South Side,0.3048348220615341,0.05671345526726216,0.17722954771019425
Near West Side,1.9778817524457677,0.5954912803062526,0.801077555650078
New City,0.5600453707642138,0.2339430029774564,0.7514532822912235
North Center,0.2835672763363108,0.06380263717566993,0.07798100099248546
North Lawndale,0.7160073727491847,0.7798100099248547,1.2547851977881752
North Park,0.1630511838933787,0.04253509145044662,0.05671345526726216
Norwood Park,0.26938891251949526,0.04253509145044662,0.09215936480930101
O'Hare,0.3048348220615341,0.04253509145044662,0.1417836381681554
Oakland,0.0708918190840777,0.00708918190840777,0.04962427335885439
Portage Park,0.42535091450446616,0.19140791152700978,0.276478094427903
Pullman,0.1630511838933787,0.08507018290089324,0.18431872961860202
Riverdale,0.11342691053452432,0.10633772862611654,0.24812136679427194
Rogers Park,0.4537076421380973,0.20558627534382531,0.4678860059549128
Roseland,0.7514532822912235,0.5175102793137671,1.077555650077981
South Chicago,0.4182617325960584,0.31192400396994185,0.7160073727491847
South Deering,0.18431872961860202,0.11342691053452432,0.24103218488586417
South Lawndale,0.48915355168013613,0.2835672763363108,0.6592939174819226
South Shore,0.9995746490854955,0.5033319154969517,1.382390472139515
Uptown,0.460796824046505,0.1701403658017865,0.4466184602296895
Washington Heights,0.3331915496951652,0.19849709343541755,0.2977456401531263
Washington Park,0.24812136679427194,0.09924854671770877,0.43952927832128175
West Elsdon,0.12760527435133986,0.06380263717566993,0.10633772862611654
West Englewood,0.6238480079398837,0.47497518786332055,0.9428611938182334
West Garfield Park,0.3473699135119807,0.5813129164894372,0.8507018290089323
West Lawn,0.31192400396994185,0.07798100099248546,0.18431872961860202
West Pullman,0.38281582305401957,0.24812136679427194,0.5600453707642138
West Ridge,0.6167588260314759,0.3261023677867574,0.3757266411456118
West Town,1.999149298170991,0.38281582305401957,0.6309371898482915
Woodlawn,0.31901318587834965,0.22685382106904864,0.5104210974053595
