Community Name,CRIMINAL DAMAGE,NARCOTICS,PROSTITUTION
Albany Park,0.12051609244293209,0.00708918190840777,0.0
Archer Heights,0.03544590954203885,0.01417836381681554,0.0
Armour Square,0.02126754572522331,0.01417836381681554,0.0
Ashburn,0.20558627534382531,0.0,0.0
Auburn Gresham,0.48915355168013613,0.07798100099248546,0.00708918190840777
Austin,0.6522047355735148,0.5742237345810294,0.14887282007656316
Avalon Park,0.03544590954203885,0.00708918190840777,0.0
Avondale,0.09215936480930101,0.01417836381681554,0.0
Belmont Cragin,0.24103218488586417,0.02126754572522331,0.0
Beverly,0.08507018290089324,0.0,0.0
Bridgeport,0.08507018290089324,0.00708918190840777,0.0
Brighton Park,0.19849709343541755,0.0,0.0
Burnside,0.04962427335885439,0.0,0.0
Calumet Heights,0.02835672763363108,0.00708918190840777,0.0
Chatham,0.24812136679427194,0.05671345526726216,0.0
Chicago Lawn,0.276478094427903,0.05671345526726216,0.0
Clearing,0.04962427335885439,0.0,0.0
Douglas,0.08507018290089324,0.02126754572522331,0.0
Dunning,0.06380263717566993,0.00708918190840777,0.0
East Garfield Park,0.2339430029774564,0.20558627534382531,0.0
East Side,0.11342691053452432,0.00708918190840777,0.0
Edgewater,0.03544590954203885,0.01417836381681554,0.0
Edison Park,0.01417836381681554,0.0,0.0
Englewood,0.19849709343541755,0.08507018290089324,0.0
Forest Glen,0.02835672763363108,0.0,0.0
Fuller Park,0.02835672763363108,0.0,0.0
Gage Park,0.08507018290089324,0.02126754572522331,0.0
Garfield Ridge,0.09215936480930101,0.00708918190840777,0.02126754572522331
Grand Boulevard,0.1701403658017865,0.02126754572522331,0.0
Greater Grand Crossing,0.460796824046505,0.04962427335885439,0.0
Hegewisch,0.01417836381681554,0.0,0.0
Hermosa,0.05671345526726216,0.0,0.0
Humboldt Park,0.26938891251949526,0.2906564582447186,0.0
Hyde Park,0.07798100099248546,0.0,0.0
Irving Park,0.1630511838933787,0.02126754572522331,0.0
Jefferson Park,0.08507018290089324,0.00708918190840777,0.0
Kenwood,0.04962427335885439,0.00708918190840777,0.0
Lake View,0.13469445625974763,0.03544590954203885,0.0
Lincoln Park,0.19140791152700978,0.00708918190840777,0.0
Lincoln Square,0.07798100099248546,0.01417836381681554,0.0
Logan Square,0.26938891251949526,0.01417836381681554,0.0
Loop,0.14887282007656316,0.00708918190840777,0.0
Lower West Side,0.1701403658017865,0.00708918190840777,0.0
McKinley Park,0.08507018290089324,0.0,0.0
Montclare,0.04253509145044662,0.0,0.0
Morgan Park,0.26229973061108747,0.0,0.0
Mount Greenwood,0.04962427335885439,0.0,0.0
Near North Side,0.31192400396994185,0.00708918190840777,0.0
Near South Side,0.04962427335885439,0.00708918190840777,0.0
Near West Side,0.5813129164894372,0.01417836381681554,0.0
New City,0.21976463916064087,0.01417836381681554,0.0
North Center,0.05671345526726216,0.00708918190840777,0.0
North Lawndale,0.3544590954203885,0.41117255068765063,0.01417836381681554
North Park,0.02835672763363108,0.01417836381681554,0.0
Norwood Park,0.04253509145044662,0.0,0.0
O'Hare,0.04253509145044662,0.0,0.0
Oakland,0.00708918190840777,0.0,0.0
Portage Park,0.1701403658017865,0.02126754572522331,0.0
Pullman,0.05671345526726216,0.02835672763363108,0.0
Riverdale,0.09215936480930101,0.01417836381681554,0.0
Rogers Park,0.18431872961860202,0.00708918190840777,0.01417836381681554
Roseland,0.38990500496242736,0.12760527435133986,0.0
South Chicago,0.2339430029774564,0.0708918190840777,0.00708918190840777
South Deering,0.08507018290089324,0.02835672763363108,0.0
South Lawndale,0.25521054870267973,0.02835672763363108,0.0
South Shore,0.43952927832128175,0.04962427335885439,0.01417836381681554
Uptown,0.12760527435133986,0.04253509145044662,0.0
Washington Heights,0.1701403658017865,0.02835672763363108,0.0
Washington Park,0.09215936480930101,0.00708918190840777,0.0
West Elsdon,0.06380263717566993,0.0,0.0
West Englewood,0.3473699135119807,0.09924854671770877,0.02835672763363108
West Garfield Park,0.15596200198497093,0.31192400396994185,0.11342691053452432
West Lawn,0.07798100099248546,0.0,0.0
West Pullman,0.20558627534382531,0.04253509145044662,0.0
West Ridge,0.2906564582447186,0.03544590954203885,0.0
West Town,0.3757266411456118,0.00708918190840777,0.0
Woodlawn,0.17722954771019425,0.03544590954203885,0.01417836381681554
