index,Location Description
STREET,3895
AUTO,985
APARTMENT,698
ALLEY,517
HOUSE,463
PORCH,247
YARD,164
PARKING LOT,139
PARK PROPERTY,95
VACANT LOT,93
HALLWAY,79
RETAIL STORE,67
GANGWAY,62
GARAGE,46
GAS STATION DRIVE/PROP.,42
CHA GROUNDS,38
RESTAURANT,37
CHA PARKING LOT,35
CHA HALLWAY,34
TAVERN,32
GAS STATION,31
BASEMENT,29
ABANDONED BUILDING,25
CHA APARTMENT,24
VESTIBULE,16
HOTEL,15
STAIRWELL,14
CLUB,14
DRIVEWAY,13
RAILROAD PROPERTY,13
OFFICE,13
BARBER SHOP/BEAUTY SALON,12
GARAGE/AUTO REPAIR,9
SCHOOL YARD,9
CAR WASH,9
WAREHOUSE,8
CHA STAIRWELL,8
TRUCK,8
DUMPSTER,7
LIQUOR STORE,6
TAXI CAB,6
CHA LOBBY,6
HOSPITAL,5
WOODED AREA,5
MOTEL,5
CTA BUS,4
RIVER,4
NURSING HOME,4
CHURCH,4
CHA PLAY LOT,3
SEWER,3
COACH HOUSE,3
LAKE,3
TRAILER,3
FOREST PRESERVE,3
"CTA ""L"" PLATFORM",3
CHA BREEZEWAY,3
RIVER BANK,2
CTA PROPERTY,2
LAUNDRY ROOM,2
PRAIRIE,2
CHA ELEVATOR,2
LIVERY STAND OFFICE,2
CHURCH PROPERTY,2
PUBLIC HIGH SCHOOL,2
CURRENCY EXCHANGE,2
FACTORY,2
COUNTY JAIL,2
"CTA ""L"" TRAIN",2
YMCA,2
LOADING DOCK,1
ELEVATOR,1
EXPRESSWAY EMBANKMENT,1
BAR OR TAVERN,1
SIDEWALK,1
POOLROOM,1
BANK,1
PUBLIC GRAMMAR SCHOOL,1
HOSPITAL BUILDING/GROUNDS,1
CLEANERS/LAUNDROMAT,1
TRUCKING TERMINAL,1
FUNERAL PARLOR,1
RESIDENCE,1
BANQUET HALL,1
ROOMING HOUSE,1
GOVERNMENT BUILDING,1
LIVERY AUTO,1
JUNK YARD/GARBAGE DUMP,1
