question_id,question_link,title,answer_count,tags
8991709,http://stackoverflow.com/questions/8991709/why-are-pandas-merges-in-python-faster-than-data-table-merges-in-r,Why are pandas merges in python faster than data.table merges in R?,3,"'python', 'r', 'join', 'data.table', 'pandas'"
7837722,http://stackoverflow.com/questions/7837722/what-is-the-most-efficient-way-to-loop-through-dataframes-with-pandas,What is the most efficient way to loop through dataframes with pandas?,7,"'python', 'performance', 'for-loop', 'pandas'"
20625582,http://stackoverflow.com/questions/20625582/how-to-deal-with-settingwithcopywarning-in-pandas,How to deal with SettingWithCopyWarning in Pandas?,3,"'python', 'parsing', 'pandas', 'dataframe'"
16476924,http://stackoverflow.com/questions/16476924/how-to-iterate-over-rows-in-a-dataframe,How to iterate over rows in a DataFrame?,4,"'python', 'pandas', 'rows', 'dataframe'"
11346283,http://stackoverflow.com/questions/11346283/renaming-columns-in-pandas,Renaming columns in pandas,15,"'python', 'pandas', 'replace', 'dataframe', 'rename'"
11707586,http://stackoverflow.com/questions/11707586/python-pandas-how-to-widen-output-display-to-see-more-columns,"Python pandas, how to widen output display to see more columns?",8,"'python', 'pandas', 'options', 'display', 'column-width'"
13411544,http://stackoverflow.com/questions/13411544/delete-column-from-pandas-dataframe,Delete column from pandas DataFrame,10,"'python', 'pandas', 'design', 'dataframe', 'magic-methods'"
12555323,http://stackoverflow.com/questions/12555323/adding-new-column-to-existing-dataframe-in-python-pandas,Adding new column to existing DataFrame in Python pandas,11,"'python', 'pandas', 'dataframe'"
19482970,http://stackoverflow.com/questions/19482970/get-list-from-pandas-dataframe-column-headers,Get list from pandas DataFrame column headers,10,"'python', 'pandas', 'dataframe'"
17071871,http://stackoverflow.com/questions/17071871/select-rows-from-a-dataframe-based-on-values-in-a-column-in-pandas,Select rows from a DataFrame based on values in a column in pandas,7,"'python', 'pandas', 'dataframe'"
13413590,http://stackoverflow.com/questions/13413590/how-to-drop-rows-of-pandas-dataframe-whose-value-of-certain-column-is-nan,How to drop rows of Pandas dataframe whose value of certain column is NaN,6,"'python', 'pandas', 'dataframe'"
15943769,http://stackoverflow.com/questions/15943769/how-to-get-row-count-of-pandas-dataframe,how to get row count of pandas dataframe?,6,"'python', 'pandas', 'dataframe'"
10715965,http://stackoverflow.com/questions/10715965/add-one-row-in-a-pandas-dataframe,add one row in a pandas.DataFrame,9,"'python', 'pandas'"
13148429,http://stackoverflow.com/questions/13148429/how-to-change-the-order-of-dataframe-columns,How to change the order of DataFrame columns?,13,"'python', 'pandas'"
15891038,http://stackoverflow.com/questions/15891038/pandas-change-data-type-of-columns,Pandas: change data type of columns,2,"'python', 'pandas'"
12096252,http://stackoverflow.com/questions/12096252/use-a-list-of-values-to-select-rows-from-a-pandas-dataframe,use a list of values to select rows from a pandas dataframe,1,"'python', 'pandas'"
12065885,http://stackoverflow.com/questions/12065885/how-to-filter-the-dataframe-rows-of-pandas-by-within-in,How to filter the DataFrame rows of pandas by &quot;within&quot;/&quot;in&quot;?,4,"'python', 'pandas'"
18172851,http://stackoverflow.com/questions/18172851/deleting-dataframe-row-in-pandas-based-on-column-value,Deleting DataFrame row in Pandas based on column value,3,"'python', 'pandas'"
10729210,http://stackoverflow.com/questions/10729210/iterating-row-by-row-through-a-pandas-dataframe,iterating row by row through a pandas dataframe,1,"'python', 'pandas'"
13295735,http://stackoverflow.com/questions/13295735/how-can-i-replace-all-the-nan-values-with-zeros-in-a-column-of-a-pandas-datafra,How can I replace all the NaN values with Zero&#39;s in a column of a pandas dataframe,4,"'python', 'pandas'"
10373660,http://stackoverflow.com/questions/10373660/converting-a-pandas-groupby-object-to-dataframe,Converting a Pandas GroupBy object to DataFrame,5,"'python', 'pandas'"
14661701,http://stackoverflow.com/questions/14661701/how-to-drop-a-list-of-rows-from-pandas-dataframe,How to drop a list of rows from Pandas dataframe?,3,"'python', 'pandas'"
13331698,http://stackoverflow.com/questions/13331698/how-to-apply-a-function-to-two-columns-of-pandas-dataframe,How to apply a function to two columns of Pandas dataframe,7,"'python', 'pandas'"
11350770,http://stackoverflow.com/questions/11350770/pandas-dataframe-select-by-partial-string,pandas + dataframe - select by partial string,6,"'python', 'pandas'"
20461165,http://stackoverflow.com/questions/20461165/how-to-convert-pandas-index-in-a-dataframe-to-a-column,How to convert pandas index in a dataframe to a column?,2,"'python', 'pandas'"
19798153,http://stackoverflow.com/questions/19798153/difference-between-map-applymap-and-apply-methods-in-pandas,"Difference between map, applymap and apply methods in Pandas",6,"'python', 'numpy', 'pandas', 'vectorization'"
14262433,http://stackoverflow.com/questions/14262433/large-data-work-flows-using-pandas,&quot;Large data&quot; work flows using pandas,10,"'python', 'mongodb', 'pandas', 'large-data', 'hdf5'"
20638006,http://stackoverflow.com/questions/20638006/convert-list-of-dictionaries-to-dataframe,Convert list of dictionaries to Dataframe,2,"'python', 'dictionary', 'pandas', 'dataframe'"
13703720,http://stackoverflow.com/questions/13703720/converting-between-datetime-timestamp-and-datetime64,"Converting between datetime, Timestamp and datetime64",8,"'python', 'datetime', 'numpy', 'pandas'"
16923281,http://stackoverflow.com/questions/16923281/pandas-writing-dataframe-to-csv-file,Pandas writing dataframe to CSV file,2,"'python', 'csv', 'pandas', 'dataframe'"
