Badge_Name,User_Ids,Count
Yearling,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '1240268', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",30
Student,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '1240268', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",30
Popular Question,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",29
Notable Question,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",29
Nice Question,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",29
Good Question,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",29
Famous Question,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",29
Scholar,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '1240268', '468604', '1560238', '1072888', '1072888', '1072888', '1090629']",28
Supporter,"['919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '1240268', '468604', '1560238', '1072888', '1072888', '1072888', '1090629']",28
Favorite Question,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '468604', '1560238', '1072888', '1072888', '1072888', '1170342', '1090629']",26
Great Question,"['1504276', '919872', '390388', '1661173', '31335', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1413778', '1733061', '1072888', '1072888', '1072888']",25
Editor,"['1504276', '1661173', '31335', '2428549', '458429', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '1505259', '1413778', '1733061', '468604', '1072888', '1072888', '1072888', '1090629']",23
Tumbleweed,"['919872', '390388', '1661173', '2428549', '458429', '1772165', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1413778', '1240268', '1072888', '1072888', '1072888', '1090629']",23
Teacher,"['919872', '390388', '1661173', '31335', '2428549', '458429', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '345660', '1505259', '1240268', '468604', '1072888', '1072888', '1072888', '1170342']",23
Commentator,"['1661173', '31335', '2428549', '458429', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '1505259', '1733061', '468604', '1560238', '1072888', '1072888', '1072888', '1090629']",22
Curious,"['1661173', '2428549', '458429', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '867549', '1505259', '1733061', '1072888', '1072888', '1072888', '1090629']",19
Critic,"['458429', '1642513', '1560517', '1072888', '245549', '983191', '2006977', '1072888', '213216', '1005409', '1505259', '1413778', '468604', '1072888', '1072888', '1072888', '1090629']",17
Inquisitive,"['390388', '2428549', '1642513', '1560517', '1072888', '245549', '983191', '1072888', '213216', '345660', '1505259', '1072888', '1072888', '1072888']",14
Nice Answer,"['919872', '390388', '1072888', '245549', '983191', '2006977', '1072888', '345660', '468604', '1072888', '1072888', '1072888']",12
Caucus,"['1661173', '31335', '1642513', '1072888', '1072888', '1505259', '468604', '1072888', '1072888', '1072888', '1090629']",11
Self-Learner,"['919872', '390388', '458429', '245549', '983191', '213216', '1005409', '345660', '1240268', '1170342']",10
Autobiographer,"['1661173', '2428549', '1072888', '1072888', '468604', '1072888', '1072888', '1072888', '1090629']",9
Promoter,"['919872', '245549', '345660', '1505259', '1413778', '1240268']",6
Organizer,"['919872', '390388', '983191', '213216', '345660', '468604']",6
Necromancer,"['919872', '390388', '983191', '2006977', '345660', '468604']",6
Enthusiast,"['390388', '1661173', '1642513', '1560517', '245549', '1090629']",6
Good Answer,"['919872', '390388', '245549', '983191', '345660']",5
Informed,"['390388', '1661173', '983191', '213216', '1005409']",5
Vox Populi,"['919872', '390388', '345660', '1240268']",4
Suffrage,"['919872', '390388', '345660', '1240268']",4
python,"['919872', '1240268', '1240268', '1240268']",4
Excavator,"['390388', '983191', '345660', '468604']",4
Taxonomist,"['919872', '245549', '345660']",3
Fanatic,"['919872', '390388', '1661173']",3
Enlightened,"['390388', '345660', '468604']",3
Constituent,"['1661173', '983191', '1505259']",3
Civic Duty,"['1661173', '1560517', '245549']",3
Revival,"['983191', '345660', '1240268']",3
Stellar Question,"['1504276', '919872']",2
Custodian,"['1504276', '983191']",2
r,"['919872', '345660']",2
Guru,"['919872', '390388']",2
Great Answer,"['919872', '983191']",2
Reviewer,"['390388', '1240268']",2
Proofreader,"['390388', '1240268']",2
Investor,"['390388', '345660']",2
Citizen Patrol,"['2428549', '468604']",2
Socratic,"['245549', '345660']",2
Quorum,"['245549', '1240268']",2
python-2.7,"['1240268', '1240268']",2
Populist,['919872'],1
pandas,['919872'],1
Peer Pressure,['245549'],1
Benefactor,['245549'],1
Disciplined,['983191'],1
Explainer,['345660'],1
Talkative,['1240268'],1
Tag Editor,['1240268'],1
Synonymizer,['1240268'],1
Strunk &amp; White,['1240268'],1
Steward,['1240268'],1
Sportsmanship,['1240268'],1
Renovator,['1240268'],1
Refiner,['1240268'],1
python-3.x,['1240268'],1
Pundit,['1240268'],1
Primer,['1240268'],1
Educated,['468604'],1
