user_id,account_id,bronze_badge,silver_badge,gold_badge,user_type,display_name,link,reputation,tags,is_answered,view_count,answer_count,score,question_id,question_link,title,creation_date,down_vote_count,Weightage
245549,88863,289,200,94,registered,Roman,http://stackoverflow.com/users/245549/roman,14359,"['python', 'pandas', 'rows', 'dataframe']",True,164584,4,154,16476924,http://stackoverflow.com/questions/16476924/how-to-iterate-over-rows-in-a-dataframe,How to iterate over rows in a DataFrame?,1368169489,1,2518
1240268,515061,255,218,19,registered,Andy Hayden,http://stackoverflow.com/users/1240268/andy-hayden,90023,"['python', 'datetime', 'numpy', 'pandas']",True,107095,8,100,13703720,http://stackoverflow.com/questions/13703720/converting-between-datetime-timestamp-and-datetime64,"Converting between datetime, Timestamp and datetime64",1354626509,0,1790
345660,139823,153,83,15,registered,Zach,http://stackoverflow.com/users/345660/zach,11013,"['python', 'r', 'join', 'data.table', 'pandas']",True,13803,3,118,8991709,http://stackoverflow.com/questions/8991709/why-are-pandas-merges-in-python-faster-than-data-table-merges-in-r,Why are pandas merges in python faster than data.table merges in R?,1327427993,1,871
390388,166334,76,48,11,registered,John,http://stackoverflow.com/users/390388/john,5877,"['python', 'pandas', 'design', 'dataframe', 'magic-methods']",True,350736,10,369,13411544,http://stackoverflow.com/questions/13411544/delete-column-from-pandas-dataframe,Delete column from pandas DataFrame,1353047200,1,502
1072888,1074439,67,45,14,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4946,"['python', 'pandas']",True,96208,7,88,13331698,http://stackoverflow.com/questions/13331698/how-to-apply-a-function-to-two-columns-of-pandas-dataframe,How to apply a function to two columns of Pandas dataframe,1352641733,0,499
213216,74159,67,35,12,registered,user7289,http://stackoverflow.com/users/213216/user7289,3432,"['python', 'csv', 'pandas', 'dataframe']",True,148734,2,126,16923281,http://stackoverflow.com/questions/16923281/pandas-writing-dataframe-to-csv-file,Pandas writing dataframe to CSV file,1370364416,1,429
1642513,1316350,52,35,8,registered,ezbentley,http://stackoverflow.com/users/1642513/ezbentley,3157,"['python', 'pandas']",True,220993,2,164,15891038,http://stackoverflow.com/questions/15891038/pandas-change-data-type-of-columns,Pandas: change data type of columns,1365465210,0,359
983191,958289,63,32,7,registered,zach,http://stackoverflow.com/users/983191/zach,4294,"['python', 'pandas']",True,104946,1,152,12096252,http://stackoverflow.com/questions/12096252/use-a-list-of-values-to-select-rows-from-a-pandas-dataframe,use a list of values to select rows from a pandas dataframe,1345739472,2,356
919872,559690,54,32,8,registered,Zelazny7,http://stackoverflow.com/users/919872/zelazny7,11287,"['python', 'mongodb', 'pandas', 'large-data', 'hdf5']",True,112129,10,428,14262433,http://stackoverflow.com/questions/14262433/large-data-work-flows-using-pandas,&quot;Large data&quot; work flows using pandas,1357834832,0,348
1505259,1630617,32,23,6,registered,marillion,http://stackoverflow.com/users/1505259/marillion,1421,"['python', 'numpy', 'pandas', 'vectorization']",True,59339,6,117,19798153,http://stackoverflow.com/questions/19798153/difference-between-map-applymap-and-apply-methods-in-pandas,"Difference between map, applymap and apply methods in Pandas",1383682814,0,239
2428549,2825884,36,19,7,registered,natsuki_1996,http://stackoverflow.com/users/2428549/natsuki-1996,2017,"['python', 'pandas', 'dataframe']",True,222177,10,173,19482970,http://stackoverflow.com/questions/19482970/get-list-from-pandas-dataframe-column-headers,Get list from pandas DataFrame column headers,1382303917,1,237
1661173,1829257,29,18,4,registered,tomasz74,http://stackoverflow.com/users/1661173/tomasz74,1774,"['python', 'pandas', 'dataframe']",True,315994,11,211,12555323,http://stackoverflow.com/questions/12555323/adding-new-column-to-existing-dataframe-in-python-pandas,Adding new column to existing DataFrame in Python pandas,1348426801,0,188
867549,464193,25,15,5,registered,TravisVOX,http://stackoverflow.com/users/867549/travisvox,1246,"['python', 'pandas']",True,151537,3,121,18172851,http://stackoverflow.com/questions/18172851/deleting-dataframe-row-in-pandas-based-on-column-value,Deleting DataFrame row in Pandas based on column value,1376230497,0,175
458429,208131,26,17,3,registered,szli,http://stackoverflow.com/users/458429/szli,1721,"['python', 'pandas', 'dataframe']",True,174001,7,173,17071871,http://stackoverflow.com/questions/17071871/select-rows-from-a-dataframe-based-on-values-in-a-column-in-pandas,Select rows from a DataFrame based on values in a column in pandas,1371058925,0,167
1560517,1700217,26,15,4,registered,appleLover,http://stackoverflow.com/users/1560517/applelover,1687,"['python', 'dictionary', 'pandas', 'dataframe']",True,28088,2,159,20638006,http://stackoverflow.com/questions/20638006/convert-list-of-dictionaries-to-dataframe,Convert list of dictionaries to Dataframe,1387293891,0,167
2006977,1187759,21,12,3,registered,yemu,http://stackoverflow.com/users/2006977/yemu,2190,"['python', 'pandas', 'dataframe']",True,188684,6,150,15943769,http://stackoverflow.com/questions/15943769/how-to-get-row-count-of-pandas-dataframe,how to get row count of pandas dataframe?,1365668048,0,132
1005409,987187,22,11,2,registered,Muppet,http://stackoverflow.com/users/1005409/muppet,1092,"['python', 'performance', 'for-loop', 'pandas']",True,125949,7,123,7837722,http://stackoverflow.com/questions/7837722/what-is-the-most-efficient-way-to-loop-through-dataframes-with-pandas,What is the most efficient way to loop through dataframes with pandas?,1319121974,0,119
468604,214559,18,13,1,registered,saveenr,http://stackoverflow.com/users/468604/saveenr,1481,"['python', 'pandas']",True,74213,5,99,10373660,http://stackoverflow.com/questions/10373660/converting-a-pandas-groupby-object-to-dataframe,Converting a Pandas GroupBy object to DataFrame,1335715835,0,111
31335,15028,10,9,2,registered,PhE,http://stackoverflow.com/users/31335/phe,1220,"['python', 'pandas']",True,203568,9,194,10715965,http://stackoverflow.com/questions/10715965/add-one-row-in-a-pandas-dataframe,add one row in a pandas.DataFrame,1337760751,0,85
1504276,1629413,7,8,3,registered,user1504276,http://stackoverflow.com/users/1504276/user1504276,2338,"['python', 'pandas', 'replace', 'dataframe', 'rename']",True,418560,15,461,11346283,http://stackoverflow.com/questions/11346283/renaming-columns-in-pandas,Renaming columns in pandas,1341498075,1,84
1090629,1097312,15,8,1,registered,msakya,http://stackoverflow.com/users/1090629/msakya,756,"['python', 'pandas']",True,51862,2,83,20461165,http://stackoverflow.com/questions/20461165/how-to-convert-pandas-index-in-a-dataframe-to-a-column,How to convert pandas index in a dataframe to a column?,1386549256,0,80
1733061,1921701,10,7,2,registered,George Thompson,http://stackoverflow.com/users/1733061/george-thompson,677,"['python', 'pandas']",True,94118,4,101,13295735,http://stackoverflow.com/questions/13295735/how-can-i-replace-all-the-nan-values-with-zeros-in-a-column-of-a-pandas-datafra,How can I replace all the NaN values with Zero&#39;s in a column of a pandas dataframe,1352400639,1,75
1772165,921423,6,7,2,registered,Timmie,http://stackoverflow.com/users/1772165/timmie,989,"['python', 'pandas']",True,97755,13,172,13148429,http://stackoverflow.com/questions/13148429/how-to-change-the-order-of-dataframe-columns,How to change the order of DataFrame columns?,1351635779,0,67
1560238,1699828,9,7,1,registered,beets,http://stackoverflow.com/users/1560238/beets,636,"['python', 'pandas', 'options', 'display', 'column-width']",True,57452,8,98,11707586,http://stackoverflow.com/questions/11707586/python-pandas-how-to-widen-output-display-to-see-more-columns,"Python pandas, how to widen output display to see more columns?",1343547891,0,63
1413778,1511883,9,4,2,registered,peoplesparkresident,http://stackoverflow.com/users/1413778/peoplesparkresident,525,"['python', 'pandas']",True,138936,1,110,10729210,http://stackoverflow.com/questions/10729210/iterating-row-by-row-through-a-pandas-dataframe,iterating row by row through a pandas dataframe,1337815278,0,58
1170342,1199352,5,5,1,registered,euforia,http://stackoverflow.com/users/1170342/euforia,476,"['python', 'pandas']",True,69689,6,85,11350770,http://stackoverflow.com/questions/11350770/pandas-dataframe-select-by-partial-string,pandas + dataframe - select by partial string,1341514654,0,45
